Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
100,Clear,Monday,Morning,Express,5,Low
150,Rainy,Tuesday,Afternoon,Superfast,10,Medium
200,Foggy,Wednesday,Evening,Local,15,High
50,Clear,Thursday,Night,Express,2,Low
75,Rainy,Friday,Morning,Superfast,8,Medium
125,Foggy,Saturday,Afternoon,Local,20,High
90,Clear,Sunday,Evening,Express,0,Low
60,Rainy,Monday,Night,Superfast,12,Medium
110,Clear,Tuesday,Morning,Local,3,High
95,Foggy,Wednesday,Afternoon,Express,25,Low
130,Clear,Thursday,Evening,Superfast,5,Medium
85,Rainy,Friday,Night,Local,7,High
160,Clear,Saturday,Morning,Express,0,Low
70,Rainy,Sunday,Afternoon,Superfast,30,Medium
45,Foggy,Monday,Evening,Local,22,High
180,Clear,Tuesday,Night,Express,4,Low
55,Rainy,Wednesday,Morning,Superfast,11,Medium
105,Foggy,Thursday,Afternoon,Local,16,High
120,Clear,Friday,Evening,Express,1,Low
80,Rainy,Saturday,Night,Superfast,9,Medium
140,Clear,Sunday,Morning,Local,3,Low
65,Rainy,Monday,Afternoon,Express,14,High
175,Foggy,Tuesday,Evening,Superfast,18,Medium
30,Clear,Wednesday,Night,Local,1,Low
115,Rainy,Thursday,Morning,Express,9,High
100,Foggy,Friday,Afternoon,Superfast,20,Medium
190,Clear,Saturday,Evening,Local,2,Low
145,Rainy,Sunday,Night,Express,12,High
50,Foggy,Monday,Morning,Superfast,17,Medium
135,Clear,Tuesday,Afternoon,Local,4,Low
105,Rainy,Wednesday,Evening,Express,11,High
75,Foggy,Thursday,Night,Superfast,22,Medium
155,Clear,Friday,Morning,Local,0,Low
40,Rainy,Saturday,Afternoon,Express,19,High
170,Foggy,Sunday,Evening,Superfast,15,Medium
25,Clear,Monday,Night,Local,2,Low
130,Rainy,Tuesday,Morning,Express,13,High
160,Foggy,Wednesday,Afternoon,Superfast,21,Medium
35,Clear,Thursday,Evening,Local,3,Low
180,Rainy,Friday,Night,Express,16,High
55,Foggy,Saturday,Morning,Superfast,23,Medium
95,Clear,Sunday,Afternoon,Local,1,Low
85,Rainy,Monday,Evening,Express,10,High
45,Foggy,Tuesday,Night,Superfast,24,Medium
